user_id,title
AE22CFXT3QZKUQJORVTGL3VQXAAA,"['HminSen Case for Lenovo Tab M10 FHD Plus TB-X606F TB-X606X 10.3"" Kids Friendly Soft Silicone Shockproof Protective Adjustable Stand Cover for Lenovo Tab M10 Plus 10.3 inch (Purple)', 'Lenovo Tab M10 Plus Tablet, FHD Android Tablet, Octa-Core Processor, 128GB Storage, 4GB RAM, Dual Speakers, Kid Mode, Face Unlock, Android 9 Pie, Iron Grey', 'Mind Reader Network Collection, Monitor Stand, 33lb. Capacity, 3-Compartment Storage, Paper Tray and 2 Side Storage Compartments, Desktop Organizer, Metal Mesh, Set of 2, 20""L x 11.5""W x 5.5""H, Silver', 'HP Newest 15 Laptop, 15.6"" Full HD Touchscreen, Intel Core i7-1165G7, 64GB RAM, 2TB PCIe SSD, Backlit Keyboard, Fingerprint Reader, HDMI, Webcam, Type-C, Windows 11 Home, Silver', 'Metra 70-2102 Radio Wiring Harness for GM 04-05', 'Iksnail Earbuds Carrying Case, Small Zipper Case for Bluetooth Earphone, Portable Storage Earbud Pouch Bag for Headsets/USB Cables (Orange)', 'HP 15 Notebook, 15.6"" HD Screen, Intel Core i3-1115G4, 16GB DDR4 RAM, 1TB PCIe SSD, Webcam, HDMI, SD Card Reader, Wi-Fi, Windows 11 Home, Natural Silver']"
AE23NAHINBRGBQ3A46YME3TPRL3A,"['Dteck Case for All-New Fire HD 10 & HD 10 Plus Tablet (2021 Release, 11th Generation) - Slim Multi-Angle Folio Stand Premium PU Leather Protective Smart Cover with Auto Wake Sleep, Twinkle Butterfly', 'Monocular Telescope, 16x50 High Power Monoculars Scope with Night Vision Waterproof for Adults Kids Bird Watching Hunting Camping, Portable Compact Monoculars Smartphone Holder and Adapter', 'Micro USB Cable 10ft, Android Charger, USB C Cable, 3Pack Extra Long Kindle Fire Charger, udaton High Speed Nylon Braided Micro Fast Charging Cord for Samsung Galaxy S7 Kindle Fire 7 PS4 Xbox LG, Blue']"
AE257SG5NR3BZMRYIVVY7YW7UVBQ,"['Headphone Stand Hanger, JOTO Silicone Under Desk Dual Headset Holder Mount Hook Hanger for Gaming Headphone Earphone -Black', 'Brenthaven Prostyle Slim Pack for MacBook 15-Inch, Black/Red (2242101)', 'Incipio Technologies QuickCheck Nylon Case for 15-Inch MacBook Pro (Black)']"
AE25NQAZI3725GZIL5FS52ZIKWKQ,"['Laptop Stand, Alloyseed Foldable Laptop Table, Height Adjustable Aluminum Laptop Desk for Bed and Sofa, Portable Laptop Bed Tray Table, Including 2 Cooling Fans and Mouse Pad, Macbook Notebook TV Desk', 'Roku Streaming Stick+ | HD/4K/HDR Streaming Device with Long-range Wireless and Roku Voice Remote with TV Controls']"
AE26ICWKMFJEHDH5VDX4W42H2NMA,"['Phone Tripod Tall, Extend to 82 Inch Tripod with Cell Phone Holder, Tall Tripod for Cell Phones, Lightweight DSLRs, Digital Cameras and Action Cameras for Taking Photos and YouTube Videos (82"")', '9"" Roof Mast Whip Aerial Antenna for Toyota 2007-2010 Yaris Hatchback 2004-2009 Prius 2003-2008 Matrix 2003-2008 Corolla 2004-2008 Solara Convertible', 'iXCC 3-Ft Tangle-Free Male to Male 3.5mm Auxiliary Cable with Gold Plated Connectors for Apple, Android Smartphones, Tablet and MP3 Players - Standard Packaging']"
AE2AS2F5NTZQDAZ6S7D2XG6Q7KAA,"['Bestisan Soundbar, TV Sound bar with Bluetooth 5.0, Optical AUX HDMI Connection, 28 Inch,3 EQs, 110dB Surround Sound Bar Home Theater Audio Soundbar System for TV', 'DOSS Bluetooth Speaker, SoundBox Touch Portable Wireless Speaker with 12W HD Sound and Bass, IPX5 Water-Resistant, 20H Playtime, Touch Control, Handsfree, Speaker for Home, Outdoor, Travel-Black', 'Anker Soundcore Bluetooth Speaker with 24-Hour Playtime, 66-Feet Bluetooth Range & Built-in Mic, Dual-Driver Portable Wireless Speaker with Low Harmonic Distortion and Superior Sound - Blue', 'Paw Patrol Marshall Kids Headphones, Adjustable Headband, Stereo Sound, 3.5Mm Jack, Wired Headphones for Kids, Tangle-Free, Volume Control, Foldable, Childrens Headphones Over Ear for School Home, Tra', 'Tablet with Keyboard, 2 in 1 Tablet Android 11, 10.1 inch Tablets Octa-Core Processor, 4GB RAM+64GB ROM, 1920x1200 FHD Touch Screen, 13MP Dual Camera, BT, WiFi, Google Certified Tablet PC']"
AE2BLXPEH643OUNYUROLEJOHCMWQ,"['SMK-Link Pad Dock 10 for Apple iPad 3rd Generation & iPad 2 (VP3650v2) with Speakers, Sync and Rotation', 'HMDX HX-P470 Titanium Portable Speaker', 'TP-Link AC750 Wireless Wi-Fi Gigabit Router (Archer C2)', 'BUILT 9-10-Inch Neoprene Netbook Sleeve, Summer Bloom', 'Logitech Performance MX Wireless Mouse (DISCONTINUED and Replaced by MX Master 2S)', 'Elimoons Cell Phone Stand, 4 Pack Multi-Angle Foldable Phone Tablet Stand, Universal Smartphones for Holder Tablets(6-11""), e-Reader, Compatible Phone XS/XR/8/8 Plus/7/7 Plus, Galaxy S8/S7-Mini', 'NETGEAR Wireless Router – AC1750 Dual Band Gigabit (R6300)', 'Amazon Fire TV - 1st Generation', 'Seagate Backup Plus Slim for Mac 1TB External Hard Drive HDD – USB 3.0, Time Machine Compatible 2 Months Adobe CC Photography (STDS1000100)', 'VANGUARD GH-300T Pistol Grip Ball Head (Black)', 'Case Logic DSL-101 Luminosity Lens Exchange Camera Lens Case Fits 5.5""H x3""W', 'iFrogz Audio - Impulse Wireless Over The Ear Headphones - Black/Red', 'Amped TAP-R3 Wireless High Power Touch Screen AC1750 Wi-Fi Router', 'JAM Plus Portable Speaker Yellow HX-P240YL', 'Konica Minolta Dimage Z5 5MP Digital Camera with 12x Anti-Shake Zoom', 'Green Onions Supply 2-Pack Glossy Screen Protector for 80/120/160 GB iPod classic 6G (Transparent)', 'Lowepro LP36393 DSLR Video Fastpack 250 (Black)', 'Ooma Core VoIP Phone System', 'Bose Companion 2 Series II Multimedia Speaker System', 'Canon PowerShot ELPH 310 HS (Silver)', 'Canon PowerShot ELPH 510 HS 12.1 MP CMOS Digital Camera with Full HD Video and Ultra Wide Angle Lens (Red)', 'ZAGG InvisibleSHIELD for iPad 2, Screen (APPIPADTWOS)', 'Harman Kardon Esquire Portable Wireless Speaker and Conferencing System', 'Creative Airwave HD Portable Wireless Bluetooth Speaker with NFC (Charcoal Grey) (Discontinued by Manufacturer)', 'TicWatch TicPods 2Pro True WirelessEarbuds,TWSEarbud,Bluetooth 5.0 with Dual-Mic,Semi-in-Ear Design,Voice Assistant,Head Gesture,Touch Controls,Quick-Commands,IPX4 Water Resistant,20H Battery,Blossom', 'Atcuji 26800mAh USB C 90W External Battery and USB-C 90W Power Adapater, PD Power Bank with 90W Power Delivery, Portable Charger for MacBook Pro/Air Surface Book 2 Pro X 7 HP Dell laptop(TSA-Approved)', 'Adonit Jot Pro Fine Point Stylus for Apple, Android, Kindle, Samsung, and Windows Tablets – Silver', 'ECOSUSI Womens Briefcase Leather Messenger Laptop Work Bag for Women Fit 15.6"" Laptop', 'Lowepro Nova 190 AW Camera Bag (Black)', 'Canon EF 85mm f1.2L II USM Lens for Canon DSLR Cameras', 'BlissLights Holiday Port USB Indoor Laser Projector - Cheerful Snowman with Motion']"
AE2CJPQPEGCIDJKZZRYDSVRV46SA,"['Dell XPS x8900-3756BLK Desktop (6th Generation Intel Core i7, 16 GB RAM, 2 TB HDD + 32 GB SSD) NVIDIA GeForce GTX 745 with 4GB DDR3', 'Amazon Basics RJ45 Cat-5e Network Ethernet Cable - 50 Feet (15.2 Meters)', 'Screen Cleaner Kit - Best for LED & LCD TV, Computer Monitor, Laptop, and iPad Screens – Contains Over 1,572 Sprays in Each Large 16 Ounce Bottle – Includes Premium Microfiber Cloth', 'Microsoft Desktop 3000 Wireless Keyboard and Mouse', 'Outdoor Cat 7 Ethernet Cable, ShineKee 60ft 26AWG Heavy-Duty Cat7 Networking Cord Patch Cable RJ45 10 Gigabit 600Mhz LAN Wire Cable STP Direct Burial Ethernet Cable', 'EBL 920D LCD Quick Charger with Discharge Function for AA AAA Ni-MH Ni-CD Rechargeable Batteries - Blue']"
AE2CO6MCKFITWP2QMMS2HZAVXD7A,"['Samsung 16GB up to 48MB/s EVO Class 10 Micro SDHC Card with Adapter (MB-MP16DA/AM)', 'Amazon Ethernet Adapter for Amazon Fire TV Devices', '1ft Lightning Cable 3Pack Short iPhone Charger Cable USB Fast Nylon Braided 12 inch iPhone Charging Cable Compatible with Apple iPhone 14/13/12/12 Pro/11/Xs Max/Xr/X/8/7/6/6s Plus/iPad', 'MOOSENG Samsung Galaxy Note 10.1 Inch Tablet N8000 N8010 Screen Protector (Matte Anti-Glare, 3 Pack), S-Pen Compatible', 'ArmorSuit MilitaryShield Screen Protector for Samsung Galaxy Tab 3 7.0 - [Max Coverage] Anti-Bubble HD Clear Film', 'Fire TV with 4K Ultra HD and 1st Gen Alexa Voice Remote, streaming media player', 'Amazon Basics High-Speed Male to Female HDMI Extension Cable - 3 Feet', 'Meffort Inc 15 15.6 Inch Laptop Notebook Skin Sticker Cover Art Decal (Included 2 Wrist pad) - Dark Lord', 'Universal Case for 9.0""-10.5"" Tablet, Artyond PU Leather Folio Stand Cover with Cards Slots Case for All 9.0"" 9.6"" 9.7"" 10.1"" 10.4"" 10.5"" Android iOS and More 9.0-10.5 inch Tablet (Gray)', 'Echo Dot (Charcoal) with Blink XT2 Outdoor/Indoor Smart Security Camera - 3 camera kit']"
AE2FQQXVDPDS7CYYO4DTBTOTNSCQ,"['Koss Portable Replacement Cushions', 'USB C to USB C Hub 10Gbps 7-in-1 with 3 USB-C 3.2 Gen2 10Gbps, 3 USB 3.2 10Gbps Ports, 100W Power Delivery with 10Gbps Data, USB-C Gen 2 Hub Adapter for MacBook Pro/Air, Chromebook, XPS, USB C devices', 'clenye Magnetic Charging Cable, 540° Rotation Magnetic Phone Charger with LED Light 3Pack (10FT/10FT/10FT) 3 in 1 Compatible with Micro USB, Type C and iProduct Device | Blackish Green Nylon-Braided', 'Artman LP-E8 Battery and Rapid Dual USB Charger kit for Fully Compatible with Canon EOS Rebel T3i T2i T4i T5i, EOS 600D 550D 650D 700D, Kiss X4 X5 X6 X7, LC-E8E Digital Cameras(2-Pack 1800mAh)', 'SUPCASE Unicorn Beetle Pro Series Case Designed for iPad 9.7 2018/2017, with Built-in Screen Protector & Dual Layer Full Body Rugged Protective Case for iPad 9.7 5th / 6th Generation(RoseGold)', 'SABRENT USB 3.0 Tool Free Enclosure for 2.5” and 3.5” Internal SATA Hard Drives (EC-KSL3)', 'inShang® 360 Degree Rotating case for Apple iPad Mini 7.9"" 1st and 2nd(Retina Display) Generation, Multi-Function PU Leather Stand Case/Cover, with Auto Sleep Wake Function', 'Arsvita Laser Lens Cleaner Disc Cleaning Set for CD/VCD/DVD Player, Safe and Effective, ARCD-02', 'USA Gear DSLR Small Camera Bag for Men and Women with Top Loading Accessibility, Adjustable Shoulder Camera Sling Bag, Padded Handle - Camcorder & Camera Lenses for Nikon, Canon, Panasonic (Polka Dot)']"
