productId,avg_rating,rating_count
0006641040,4.571428571428571,7
2841233731,5.0,1
7310172001,4.747058823529412,170
7310172101,4.747058823529412,170
7800648702,4.0,2
B00002N8SM,1.0,3
B00004CI84,4.483870967741935,186
B00004CXX9,4.478260869565218,184
B00004RAMV,4.0,1
B00004RAMX,4.0,2
B00004RAMY,4.285714285714286,7
B00004RBDU,4.25,12
B00004RBDW,5.0,3
B00004RBDZ,3.888888888888889,9
B00004RYGX,4.483870967741935,186
B00004S1C5,4.8,5
B00004S1C6,4.916666666666667,12
B000052Y74,4.0,3
B00005344V,5.0,5
B0000535LF,5.0,1
B0000537KC,4.8,5
B00005C2JE,5.0,1
B00005C2M2,5.0,4
B00005C2M3,5.0,1
B00005IX96,3.75,16
B00005IX97,3.75,16
B00005IX98,3.75,16
B00005OMWQ,4.0,1
B00005U2FA,4.285714285714286,7
B00005V3DC,5.0,1
B0000691JF,5.0,1
B00006G930,4.0,3
B00006IDK9,5.0,1
B00006LL38,5.0,2
B00008433V,3.8333333333333335,6
B000084346,5.0,1
B00008434E,5.0,1
B00008434F,4.0,1
B000084DWM,3.8823529411764706,68
B000084DXS,5.0,2
B000084E66,3.0,2
B000084E6V,4.185185185185185,27
B000084E76,4.285714285714286,7
B000084E9J,3.0,1
B000084EA6,5.0,3
B000084EHL,3.0,2
B000084EI0,5.0,1
B000084EJP,5.0,2
B000084EJQ,4.0,1
B000084EJR,4.0,1
B000084EJS,4.0,1
B000084EJT,4.0,1
B000084EJY,4.0,1
B000084EK4,3.0,1
B000084EK5,5.0,1
B000084EK6,5.0,1
B000084EK7,4.0,1
B000084EK8,3.0,1
B000084EK9,3.0,2
B000084EKA,4.0,1
B000084EKB,4.0,1
B000084EKC,5.0,1
B000084EKD,2.0,1
B000084EKG,5.0,1
B000084EKO,3.0,1
B000084EKQ,3.0,1
B000084EKW,5.0,2
B000084EKY,4.666666666666667,3
B000084EL4,5.0,1
B000084EOQ,4.0,1
B000084ERR,4.0,1
B000084ERU,5.0,1
B000084ESM,3.0,2
B000084ETV,3.6923076923076925,130
B000084ETY,3.75,4
B000084EWU,5.0,1
B000084EXJ,5.0,1
B000084EZ4,4.1655629139072845,151
B000084EZE,5.0,1
B000084F04,3.5714285714285716,7
B000084F0P,4.5,4
B000084F1I,4.416666666666667,12
B000084F1L,1.0,1
B000084F1O,4.5,2
B000084F1Z,3.0,2
B000084F3O,3.3333333333333335,3
B000084F3X,4.0,5
B000084F44,4.5,4
B000084F5E,4.25,8
B000084F6E,5.0,1
B000084F6F,4.466666666666667,15
B000087BJ3,5.0,1
B000087BJ4,5.0,1
B000089D9T,5.0,1
B00008CQV5,5.0,1
B00008CQVA,4.1655629139072845,151
B00008DF91,3.3333333333333335,3
B00008DFB5,5.0,1
B00008DFK5,3.9302325581395348,43
B00008DFNV,5.0,1
B00008DFOG,5.0,3
B00008DFPY,4.0,1
B00008DFR5,5.0,1
B00008GKAV,1.0,1
B00008GQ50,1.0,1
B00008JOL0,4.744897959183674,98
B00008MOFD,5.0,1
B00008MOI8,5.0,1
B00008MOIF,2.125,8
B00008MOJ2,5.0,1
B00008O35V,1.0,1
B00008O36H,1.0,1
B00008Q3B7,4.5,6
B00008WUA9,5.0,1
B000093HOV,4.0,1
B000096OIV,5.0,1
B00009KF1J,3.5,2
B00009ND7A,4.5,2
B00009OLE2,1.0,1
B00009OLEP,4.555555555555555,9
B00009ZIY2,2.5,2
B00009ZJ2Y,4.0,1
B00009ZJ48,5.0,5
B0000A0BS5,5.0,1
B0000A0BS8,4.5,2
B0000A1ODP,4.25,4
B0000A1ODW,4.25,4
B0000A1OEF,3.4,5
B0000AE5ZC,5.0,1
B0000AE5ZD,3.4,5
B0000AE5ZE,3.4,5
B0000AE623,4.0,1
B0000AH3QT,2.0,1
B0000AH3QW,4.666666666666667,3
B0000AH3RM,4.75,4
B0000AH3RP,3.0,2
B0000AH3RR,5.0,1
B0000AH3UK,4.6,5
B0000AH9XL,5.0,2
B0000AH9XO,5.0,1
B0000BXJIO,4.666666666666667,3
B0000BXJIS,5.0,3
B0000BXJIU,5.0,2
B0000BXJO8,4.0,4
B0000C69FB,4.833333333333333,12
B0000C69FI,4.5,2
B0000CAV3A,5.0,1
B0000CAV3B,4.0,1
B0000CAV3C,5.0,1
B0000CCZYY,5.0,1
B0000CD06J,4.428571428571429,7
B0000CD9PL,5.0,1
B0000CD9PM,5.0,1
B0000CD9TF,4.0,2
B0000CD9TH,5.0,1
B0000CD9V4,4.0,2
B0000CDAY2,4.0,3
B0000CDBPT,5.0,1
B0000CDBPV,4.0,1
B0000CDBPW,5.0,1
B0000CDBPX,5.0,1
B0000CDBQB,5.0,2
B0000CDBQD,5.0,2
B0000CDBQF,5.0,1
B0000CDBQI,5.0,1
B0000CDBQL,5.0,3
B0000CDBQN,5.0,3
B0000CDBQS,5.0,1
B0000CDBQT,5.0,1
B0000CDBQZ,2.0,1
B0000CDBR9,5.0,2
B0000CDBRA,5.0,2
B0000CDBRJ,5.0,2
B0000CDBRK,5.0,2
B0000CDBRM,4.777777777777778,18
B0000CDBRN,4.777777777777778,18
B0000CDBRP,5.0,6
B0000CDBRQ,5.0,6
B0000CDBRU,2.0,1
B0000CDBRV,2.0,1
B0000CDBRY,3.6666666666666665,3
B0000CDBRZ,3.6666666666666665,3
B0000CDEPD,3.5,2
B0000CDEQM,5.0,1
B0000CEPDP,4.5,8
B0000CEPED,3.2580645161290325,31
B0000CEQ6H,5.0,2
B0000CEQ72,5.0,1
B0000CEQD5,5.0,1
B0000CEQUJ,5.0,1
B0000CEQY4,4.5,2
B0000CEQZS,1.0,1
B0000CER0J,5.0,2
B0000CER3Z,5.0,1
B0000CER6R,5.0,1
B0000CER9K,5.0,1
B0000CER9W,4.0,1
B0000CERBL,5.0,1
B0000CERCD,5.0,2
B0000CERDY,5.0,1
B0000CERIH,5.0,1
B0000CERJ5,5.0,1
B0000CERPU,4.0,1
B0000CERPY,1.0,1
B0000CERVY,5.0,2
B0000CERXB,5.0,1
B0000CERXU,4.75,4
B0000CERYI,5.0,1
B0000CERZK,5.0,1
B0000CES0O,5.0,2
B0000CET6I,3.0,2
B0000CEU6P,3.5,14
B0000CEU6T,3.5,14
B0000CEU7D,3.5,14
B0000CEU7J,3.5,14
B0000CF4VF,3.0,1
B0000CF8T1,5.0,4
B0000CFH6P,3.0,1
B0000CFH7B,2.0,4
B0000CFMU3,5.0,1
B0000CFN0Y,4.545454545454546,11
B0000CFNGU,4.25,4
B0000CFP3T,5.0,1
B0000CFPI2,4.0,4
B0000CFSL8,4.25,4
B0000CFXYA,3.0,3
B0000CFYHJ,5.0,2
B0000CG4I0,4.166666666666667,12
B0000CGDUK,3.5,14
B0000CGE1S,5.0,2
B0000CGE3G,4.5,2
B0000CGE3R,5.0,1
B0000CGFCD,5.0,1
B0000CGFCQ,5.0,1
B0000CGFH6,5.0,1
B0000CGFSC,5.0,1
B0000CGFV4,5.0,1
B0000CH39R,3.5,14
B0000CH39S,3.5,14
B0000CH3AU,5.0,1
B0000CH4F7,4.5,2
B0000CNTZL,5.0,1
B0000CNU07,1.0,1
B0000CNU0A,4.0,2
B0000CNU15,5.0,2
B0000CNU18,5.0,1
B0000CNU1S,4.0,1
B0000CNU1X,4.25,4
B0000CNU28,5.0,1
B0000CNU2B,5.0,1
B0000CNU2J,2.5,2
B0000CNU2Q,5.0,2
B0000CNU2W,2.0,2
B0000CNU3M,2.5,2
B0000CNU4D,4.5,2
B0000CNU4K,1.0,1
B0000CNU51,4.5,2
B0000CNU58,5.0,1
B0000CNU59,5.0,2
B0000CNU5A,5.0,1
B0000CNU5R,5.0,1
B0000CNU72,5.0,1
B0000D15YQ,3.0,3
B0000D1666,5.0,1
B0000D1675,5.0,2
